source,output,grammer,fluency,meaning,system,ave_g,ave_f,ave_m
An atmosphere of death covered the whole world.,An atmosphere of death covered the whole world.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm",4.0,4.0,4.0
"If anyone has ever read any fiction or storied written before the 18th century, it is very hard to find any character in those stories lived longer than 80 years old.","If anyone has ever read any fiction or storied written before the 18th century, it is very hard to find any character in those stories lived longer than 80 years old.","3,4,3,3,2","3,4,3,2,2","4,3,4,4,3",smt,3.0,2.8,3.6
"The family members must be worrying a lot about the lost elderly, and with the help of police office, maybe they can find the elderly back, but it will take a long time, and a lot of energy to find someone in a country has a population about five million without knowing the exact location of that person.","The family members must be worrying a lot about the lost elderly, and with the help of police offices, maybe they can find the elderly back, but it will take a long time, and a lot of energy to find someone in a country that has a population of about five million without knowing the exact location of that person.","3,3,3,3,2","4,3,3,2,1","4,4,4,4,2",copy-net,2.8,2.6,3.6
"Furthermore, such tracking on individuals is done without permission of the subject person.","Furthermore, such tracking on individuals is done without permission of the subject person.","4,4,4,3,4","3,4,4,2,4","4,4,4,4,4","smt,copy-net,transformer,cnn",3.8,3.4,4.0
"For society, when the group of old people becomes larger and less people can work for the society, this society may lack of labours.","For society, when the groups of old people become larger and less people can work for the society, this society may lack labours.","3,4,4,3,3","3,4,4,2,3","3,4,4,4,2",transformer,3.4,3.2,3.4
"Typically, the RFID tags are small devices with a read-only chip.","Typically, the RFID tags are small devices with read-only chip.","4,4,3,3,3","3,4,3,3,3","3,3,4,4,2",smt,3.4,3.2,3.2
"While as it becomes highly developed, it is very scary to realize that this technology actually tells lots of people where did you go and what did you do.","While as it becomes highly developed, it is very scary to realize that this technology actually tells lots of people where did you go and what you did.","3,3,3,4,2","4,2,3,3,1","3,3,4,4,2",smt,3.0,2.6,3.2
"At that time, Singapore government adopted the method to install surveillances in every patient's home to look after their actions.","At that time, the Singapore government adopted the method to install services in every patient's home to look after their actions.","4,4,4,4,2","3,4,4,3,2","3,4,4,4,2",transformer,3.6,3.2,3.4
"By following the trend of improvement in technology, people can now easily tracked by using RFID (radio-frequency identification) by simply implant a RFID tags on human body.","By following the trend of improvement in technology, people can now easily ridden by using RFID (man-frequency identification) by simply implanted RFID tags on the human body.","2,2,2,2,2","3,3,2,2,1","3,3,4,2,2",transformer,2.0,2.2,2.8
"Sooner or later, the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed.","Soon or later, the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground at an extremely high speed.","3,2,3,4,2","3,3,3,3,1","3,3,3,4,2",transformer,2.8,2.6,3.0
"From one perspective, it shows that the medical technology has improved over the years as people now are able to treat different deceases.","From one perspective, it shows that the medical technology has improved over the years as people now are able to treat different diseases.","4,3,4,4,3","4,3,4,4,3","3,4,3,4,1",lstm,3.6,3.6,3.0
It records the history which nobody can deny.,It records history which nobody can deny.,"4,3,4,4,4","4,2,4,4,3","3,3,4,4,2",cnn,3.8,3.4,3.2
There was a saying which says that hunger can bring people back to animals.,There was a saying which says that hunger can bring people back to animals.,"3,3,3,4,2","3,3,3,2,2","4,4,4,4,4","smt,transformer,cnn",3.0,2.6,4.0
"Therefore, people are generally less stressed in working.","Therefore, people are generally less stressed when working.","4,3,4,4,4","4,3,4,4,4","4,3,4,3,3",transformer,3.8,3.8,3.4
"From one perspective, it shows that the medical technology has improved over the years as people now are able to treat different deceases.","From one perspective, it shows that medical technology has improved over the years as people are now able to treat different deceases.","3,2,3,3,3","4,3,3,3,3","4,4,4,4,3",smt,2.8,3.2,3.8
"It is clear that population aging is happening all over the world, since the current average life span is 65 and the population above the age of 60 is getting increased year after year.","It is clear that population aging is happening all over the world, since the current average life span is 65 and the population above the age of 60 is increasing year after year.","4,3,4,4,4","4,4,4,4,4","3,2,4,4,2","smt,lstm,copy-net,transformer,cnn",3.8,4.0,3.0
Many young people don't view things like their parents used to do.,Many young people don't views things like their parents used to do.,"3,4,3,4,2","4,4,3,4,1","4,4,4,4,2",smt,3.2,3.2,3.6
It gives the police a better control of the criminal.,It gives the police a better control of the criminals.,"4,3,4,4,4","3,4,4,3,4","3,3,3,4,2",transformer,3.8,3.6,3.0
There are kidnaps everywhere and not all of the family can afford the ransom that acquired by kidnappers.,There are kidnaps everywhere and not all of the family can afford the ransom that is acquired by kidnappers.,"3,3,3,4,2","3,2,3,2,1","3,3,4,4,2","lstm,copy-net",3.0,2.2,3.2
Does the implanting chip definitely safe and feasible?,Do the implanting chip are definitely safe and feasible?,"2,3,2,3,1","2,3,2,2,1","3,3,4,4,2",cnn,2.2,2.0,3.2
"More interestingly, this technology is being used in human identification, even planting the chip into human body.","More interestingly, this technology is being used in human identification, even planting the chip into the human body.","3,3,4,4,3","4,3,4,4,2","4,3,4,4,2","smt,copy-net,transformer",3.4,3.4,3.4
"At the same time, people must protect their privacy without share their place to strangers.","At the same time, people must protect their privacy without share their place to strangers.","2,1,3,3,1","2,1,3,2,1","4,3,4,4,2",smt,2.0,1.8,3.4
"In this mean time, surveillance technology is founded which mean that we are able to track people at every time in everywhere.","In this mean time, surveillance technology is founded which means that we are able to track people at every time everywhere.","4,2,2,3,3","3,3,2,2,2","3,3,4,4,2",smt,2.8,2.4,3.2
"Nowadays, people need to carry a lot of ID cards around to show that I am the one the same as the one on the ID cards.","Nowadays, people need to carry a lot of ID cards around to show that I am the same as the one on the ID cards.","3,2,2,4,1","3,2,2,3,1","3,2,4,4,4",lstm,2.4,2.2,3.4
"In the United States, after the horrible attack on 11 September, the US congress passed the Patriot Act, which is mainly to increase domestic surveillance, to counter against the terrorists.","In the United States, after the horrible attack on 11 September, the US congress passed the Patriot Act, which is mainly to increase domestic surveillance, to counter against terrorists.","3,2,3,4,4","3,3,3,4,3","3,2,4,4,3",lstm,3.2,3.2,3.2
"When people become old, most of them join the weak group of citizens who have to live by receiving care from other people.","When people become old, most of them join the weak group of citizens who have to live by receiving care from other people.","4,3,4,4,4","4,2,4,2,4","4,3,4,4,4","smt,lstm,copy-net,cnn",3.8,3.2,3.8
"Besides, as the development of the technology, the medical therapy also has a tremendous progress.","Besides, as the development of technology, the medical therapy also has a tremendous progress.","3,3,3,3,3","2,3,3,2,3","4,3,4,4,2",smt,3.0,2.6,3.4
"If the number of old people is too much and there is lesser number of younger people, it will affect the growth of the whole society as the young workers are less, the productivity and technology improvements will be less.","If the number of old people is too much and there is less number of younger people, it will affect the growth of the whole society as the young workers are less, the productivity and technology improvements will be less.","3,3,4,3,3","3,4,4,2,1","4,3,4,4,2","transformer,cnn",3.2,2.8,3.4
"The observation means that the more developed the countries, the longer the life span of citizens.","The observation means that the more developed the countries develop, the longer the life span of citizens.","3,3,2,3,2","2,3,2,2,2","2,4,3,3,2",transformer,2.6,2.2,2.8
"In the era of Warring State, warriors lose their arms or legs or even all of them.","In the era of the Warring States, warriors lose their arms or legs or even all of them.","3,3,3,4,4","3,3,3,3,3","3,3,4,4,1",smt,3.4,3.0,3.0
"When mentioning about the population ageing, media always consider it as a social problem.","When mentioning about the ageing population, the media always considers it as a social problem.","4,3,4,3,3","4,3,4,2,3","3,3,3,4,4",cnn,3.4,3.2,3.4
"In that sense, without a proper way to track human being, it is way too difficult to save those innocent life.","In that sense, without a proper way to track human being, it is way too difficult to save those innocent life.","3,3,2,3,3","3,3,3,2,3","3,4,4,4,4",cnn,2.8,2.8,3.8
"In order to cope with the ageing population that pulls down or hinders the economic development, more physically capable and young workforces are required in the society.","In order to cope with the ageing population that pulls down or hinders the economic development, more physically capable and young workforces are required in the society.","2,3,4,4,3","2,3,4,3,3","4,3,4,4,4",copy-net,3.2,3.0,3.8
"For example, this can be a very beneficial and useful device for police force to track crime suspects and terrorists for their movements, or contributing to more leads for solving a case.","For example, this can be a very beneficial and useful device for police force to track crime suspects and terrorists for their movements, or contributing to more leads for solving a case.","3,3,3,3,3","2,3,3,2,3","4,4,4,4,4","smt,copy-net,cnn",3.0,2.6,4.0
"In addition, if surveillance technology is even better developed, it can be used to detect the problem before the real accidence has happened.","In addition, if surveillance technology is even better developed, it can be used to detect the problem before real accidents have happened.","3,3,4,4,4","3,3,4,4,4","2,4,3,4,4",lstm,3.6,3.6,3.4
"Instead, when news of the installment of such device was released on the newspaper, it was heavily cricised by the public.","Instead, when news of the installment of such device was released in the newspaper, it was heavily cricised by the public.","2,3,3,4,3","2,3,4,3,3","3,3,4,4,4",copy-net,3.0,3.0,3.6
It is therefore better to stick to the status quo.,It is therefore better to stick to the status quo.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm,copy-net,cnn",4.0,4.0,4.0
"Hackers become increasingly vicious, invading into our computer system, now with radio-frequency tracking device, this may fall into inappropriate hands for the wrong reasons.","Hackers have become increasingly vicious, invading into our computer system, and now with radiation tracking devices, this may fall into inappropriate hands for the wrong reasons.","2,3,4,4,4","2,3,4,4,4","2,3,3,4,3",transformer,3.4,3.4,3.0
Elderly people's ability to move and act is much lower.,The elderly people's ability to move and act is much lower.,"3,3,4,4,4","3,3,4,3,4","3,3,3,4,4","lstm,transformer",3.6,3.4,3.4
"In my point of view, surveillance technology should still be used to track people at present since there are no better solutions.","In my point of view, surveillance technology should still be used to track people at present since there are no better solutions.","4,3,4,4,4","4,3,4,3,4","4,3,4,4,4","smt,lstm,copy-net,transformer,cnn",3.8,3.6,3.8
People with rising life expectancies can ensure large population and large species of human being.,People with rising life expectancy can ensure a large population and large species of human beings.,"3,3,4,3,4","3,3,4,2,3","2,4,3,4,4",lstm,3.4,3.0,3.4
Such situation is a major progress from the ancient time and also a big achievement by all human beings.,Such a situation is a major progress from the ancient times and also a big achievement by all human beings.,"3,3,4,3,4","3,3,4,3,4","3,3,3,4,4",cnn,3.4,3.4,3.4
"Even our applications in our Iphones or other smartphones, our I-pad can easily revealed our locations.","Even our applications in our iPhones or other smartphones, our I-pad can easily reveal our locations.","2,3,4,3,3","2,3,4,3,3","3,4,3,4,4",cnn,3.0,3.0,3.6
"Although rising of life expectancies is an challenge to the entire human nation, the detailed problems each country that will encounter is different.","Although rising of life expectancies is an challenge to the entire human nation, the detailed problems each country will encounter are different.","3,3,3,4,3","3,3,3,4,3","3,3,3,4,4",transformer,3.2,3.2,3.4
The reason why it will happen is because people have violated the natural regulation.,The reason why it will happen is because people have violated natural regulations.,"4,3,4,4,4","4,3,4,2,4","3,4,3,4,4",transformer,3.8,3.4,3.6
"However, human beings are not animals or any other products, they have their own thoughts and freedom.","However, human beings are not animals or any other products; they have their own thoughts and freedom.","4,3,4,4,4","4,3,4,4,4","3,4,4,4,4",copy-net,3.8,3.8,3.8
"For the first part, rising life expectancies is a challenge.","For the first part, rising life expectancy is a challenge.","4,4,4,4,4","4,4,4,4,4","2,4,3,4,3","lstm,copy-net,transformer,cnn",4.0,4.0,3.2
"Only when there is a ubiquitous good will for senior citizens can the aged people live well, and that is a thing to be proud of.","Only when there is an ubiquitous goodwill for senior citizens can the aged people live well, and that is something to be proud of.","4,3,4,4,4","4,3,4,3,4","3,3,3,4,4",smt,3.8,3.6,3.4
It may be known that young children may be stolen by some agency that doing the business to trade the children.,It may be known that young children may be stolen by some agency that is doing business to trade the children.,"4,3,4,4,3","4,3,4,2,3","3,3,4,4,4",copy-net,3.6,3.2,3.6
"On the other hand, due to the track of people, the police can better know a person's daily schedule.","On the other hand, due to the track of people, the police can better know a person's daily schedule.","3,3,3,3,3","3,3,3,2,3","4,4,4,4,4","lstm,copy-net,transformer,cnn",3.0,2.8,4.0
It may cost higher social cost burden which further leads to the allocation of funds in government yearly budget.,It may cost higher social cost burden which further leads to the allocation of funds in government yearly budget.,"3,3,2,2,3","2,3,2,2,3","4,4,4,4,4","copy-net,transformer",2.6,2.4,4.0
"Without such surveillance technology, we can still live a better future.","Without such surveillance technology, we can still live a better future.","4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,copy-net,transformer,cnn",4.0,4.0,4.0
"In a nut shell, rising life expectancies can be considered both an achievement and a challenge.","In a nut shell, rising life expectancy can be considered both an achievement and a challenge.","4,4,4,4,4","4,4,4,4,4","3,4,3,4,4","lstm,copy-net,transformer",4.0,4.0,3.6
Much more could be done to reach the stage of extending the lifespan of human being.,Much more could be done to reach the stage of extend the lifespan of human beings.,"2,3,3,3,3","2,3,3,2,3","2,3,3,3,4",transformer,2.8,2.6,3.0
"In conclusion, what I have mentioned above, although global aging issue has become more serious on humans development, if we can balance and understand why we live.","In conclusion, what I have mentioned above, although the global aging issue has become more serious about human development, if we can balance and understand why we live.","3,3,2,2,3","3,3,2,2,3","3,3,3,4,4",lstm,2.6,2.6,3.4
"In the past, people only can find each other and communicate face to face.","In the past, people only can find each other and communicate face to face.","2,4,3,4,3","2,4,3,3,3","3,4,4,4,4","smt,lstm,cnn",3.2,3.0,3.8
Eating the right amount of healthy or junk food can be a cause of having a longer or shorter lifespan.,Eating the right amount of healthy or junk food can be a cause of having longer or shorter lifespans.,"4,3,4,4,3","4,3,4,3,3","3,4,3,4,4",smt,3.6,3.4,3.6
"If we cannot choose the proper way to use it, we taste the bad consequences of it.","If we cannot choose the proper way to use it, we taste the bad consequences of it.","4,3,4,4,4","4,3,4,2,4","4,4,4,4,4","smt,copy-net",3.8,3.4,4.0
Population ageing: A more and more attention-getting topic,Population ageing: A more attention-getting topic,"4,3,4,4,4","4,3,4,2,4","2,3,3,4,3",smt,3.8,3.4,3.0
They can live longer as they can afford high healthcare fares to maintain their health to a better condition.,They can live longer as they can afford high healthcare fares to maintain their health to a better condition.,"2,3,4,3,4","2,3,4,2,4","4,3,4,4,4","lstm,copy-net,cnn",3.2,3.0,3.8
"According to article Lawful Interception, in US, every telecommunication companies have contract with FBI, requiring them to keep the phone call record easily searchable and accessible for FBI.","According to article Lawful Intercept, in US, every telecommunication company has a contract with the FBI, which requires them to keep the phone call record easily search and accessible for the FBI.","4,3,2,3,3","4,3,2,3,3","3,3,3,4,4",transformer,3.0,3.0,3.4
"For society, when the group of old people becomes larger and less people can work for the society, this society may lack of labours.","For society, when the group of old people becomes larger and fewer people can work for the society, this society may lack of labour.","3,3,4,4,3","2,3,4,2,3","3,3,3,3,4",smt,3.4,2.8,3.2
"However, these older people usually contribute less or nearly have no productivity for the society.","However, these older people usually contribute less or nearly no productivity for society.","3,3,4,3,3","3,3,4,2,3","3,3,3,4,4",smt,3.2,3.0,3.4
"If RFID comes into existence, this kind of cases can be totally avoided in no time.","If RFID comes into existence, this kind of case can be totally avoided in no time.","4,3,4,4,4","4,3,4,2,4","2,4,3,4,4","copy-net,transformer",3.8,3.4,3.4
Every coin has its two sides.,Every coin has its two sides.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4","smt,lstm",4.0,4.0,4.0
"There is no absolute perfect way, so we have done a good job on the road.","There is absolutely no perfect way, so we did a good job on the road.","4,3,4,4,4","4,3,4,3,4","3,3,3,4,4",transformer,3.8,3.6,3.4
"For example, intruders can be detected if there are any in schools or offices.","For example, intruders can be detected if there are any in schools or offices.","4,3,4,4,4","4,3,4,4,4","4,4,4,4,4","smt,lstm,copy-net,transformer,cnn",3.8,3.8,4.0
"People expect more on the ground of their current economy, life stability and desire.","People expect more on the ground of their current economy, life stability and desire.","4,3,4,3,4","4,3,4,2,4","4,4,4,4,4","copy-net,cnn",3.6,3.4,4.0
Probably the next breakthrough is around the corner in the near future.,The next breakthrough is probably around the corner in the near future.,"4,3,4,4,4","4,3,4,4,4","3,3,3,4,3","copy-net,cnn",3.8,3.8,3.2
"To make him or her more competitive so that not be beat by the younger, old people usually accept lower compensation or bonus.","To make him or her more competitive so that not be beaten by the younger, older people usually accept lower compensation or bonuses.","2,3,2,3,3","1,3,2,2,3","2,3,3,4,4",smt,2.6,2.2,3.2
"In conclusion, the reason why population ageing is increasing majority is due to the great improvement of the global medical science.","In conclusion, the reason why population ageing is because of the great improvement of the global medical science.","2,3,2,3,3","2,3,2,2,3","2,3,3,4,4",cnn,2.6,2.4,3.2
We can think about this scenario: the location of us going on daily life will be sent to a computer to be processed and stored every second.,We can think about this scenario: the location of us going on daily life will be sent to a computer to be processed and stored every second.,"4,3,3,4,3","4,3,3,2,3","4,4,4,4,4","lstm,copy-net,transformer,cnn",3.4,3.0,4.0
"Not only has the family member of the old people, but also the government needed to spend a lot of effort to handle such situation.","Not only has the family members of the old people, but also the government needed to spend a lot of effort to handle such a situation.","2,3,3,2,3","1,3,3,2,3","3,4,3,4,4",transformer,2.6,2.4,3.6
"For an example, one would like to have I-Phone 5 in the past but he or she will expect it to have more functions or operate in faster speed after using it a while.","For example, one would like to have I-Phone 5 in the past but he or she will expect it to have more functions or operate in faster speed after using it a while.","3,3,3,3,3","3,3,3,2,3","2,4,3,4,4",lstm,3.0,2.8,3.4
"Soon after coming into the industrial age, human released the weapon and brings up a new technologic era.","Soon after coming into the industrial age, humans released the weapons and brought up a new technological era.","3,3,4,4,3","3,3,4,4,3","3,4,3,4,4",lstm,3.4,3.4,3.6
"This is the result of better quality of life; which is basically sufficient food and clean water, better sanitations and advanced health-care.","This is the result of better quality of life; which is basically sufficient food and clean water, better san, and advanced health-care.","2,2,3,2,3","1,3,3,2,3","3,3,3,2,2",cnn,2.4,2.4,2.6
Surveillance technology is getting more and more widely used with the development of modern technology in terms of various scientific breakthroughs.,Surveillance technology is becoming more and more widely used with the development of modern technology in terms of various scientific breakthroughs.,"4,3,4,4,4","4,3,4,3,4","2,3,3,4,4",cnn,3.8,3.6,3.2
Population ageing seems to be an achievement when it first happened.,The population ageing seems to be an achievement when it first happens.,"4,3,2,4,3","4,3,2,4,3","2,3,3,3,3",transformer,3.2,3.2,2.8
"Moreover, if the product is what one needs to use every day like clothes or shoes, then the location of one will be revealed every seconds.","Moreover, if the product is what one needs to use every day like clothes or shoes, then the location of one will be revealed every second.","2,3,4,4,3","2,3,4,4,3","2,3,3,4,4","lstm,copy-net,transformer,cnn",3.2,3.2,3.2
Rising life expectancies can bring us more skilled work force because we can delay the retirement time to extend working time for each person.,Rising life expectancies can bring us more skilled work force because we can delay the retirement time to extend working time for each person.,"3,4,3,3,3","3,4,4,3,3","3,4,4,4,4","smt,transformer",3.2,3.4,3.8
Video surveillance gives people a sense of security should anything happen.,Video surveillance gives people a sense of security should anything happen.,"2,4,4,4,3","3,4,4,4,3","3,4,4,4,4","smt,copy-net,cnn",3.4,3.6,3.8
The person in the record had been changed with another one before it was released to the public.,The person on the record had changed with another one before it was released to the public.,"3,3,4,4,3","4,3,4,2,3","3,4,3,4,3",copy-net,3.4,3.2,3.4
This technology could also be seen as invasion of human's privacy.,This technology could also be seen as invasion of human privacy.,"3,4,4,4,3","3,4,4,4,3","3,4,4,4,3",lstm,3.6,3.6,3.6
"With the strong back support of technology, the rises of life expectancies can be seen as an achievement to the development of our human society.","With the strong back support of technology, the rise of life expectancies can be seen as an achievement to the development of our human society.","2,4,4,4,3","3,4,4,4,3","3,4,4,4,4","copy-net,cnn",3.4,3.6,3.8
"For instance, in militaries which are of high importance, surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault.","For instance, in militaries which are of high importance, surveillance technology is essential as it is a way to provide undeniable evidences if anything is faults.","3,3,3,3,3","4,3,3,2,3","3,4,4,4,4",lstm,3.0,3.0,3.8
"In conclusion, the increase in population age shows both the human technology achievement and the new challenges like lack of young generation.","In conclusion, the increase in population age shows both human technology achievement and new challenges like lack of young generation.","3,3,3,3,3","3,3,4,3,3","2,4,4,4,3","copy-net,transformer",3.0,3.2,3.4
"In conclusion, RFID benefited people more than brought harmful side effect to human body by considering for human safety.","In conclusion, RFID benefited people more than brought harmful side effects to human body by considering human safety.","2,4,3,4,3","3,4,4,3,3","2,4,4,4,3","lstm,cnn",3.2,3.4,3.4
The ability to eliminate the illness is considered as an achievement as this proves that the ability of the human race to research and develop the medical ability to solve and eliminated the harm that is able to take the life of a human away at a earlier age.,The ability to eliminate the illness is considered as an achievement as this proves that the ability of the human race to research and develop the medical ability to solve and eliminate the harm that is able to take the life of a human away at an earlier age.,"3,4,3,2,3","3,4,3,2,3","3,4,4,4,3","lstm,copy-net,transformer,cnn",3.0,3.0,3.6
These chips were also implanted under the human skin where it also helps to store the basic information of the person in it.,These chips were also implanted under the human skin where they also help to store the basic information of the person in them.,"3,4,4,3,3","3,4,4,2,3","2,4,4,4,3",transformer,3.4,3.2,3.4
One of the basic rights of human is the right for privacy.,One of the basic human rights is the right to privacy.,"2,4,4,4,3","3,4,4,4,3","3,3,4,4,3",smt,3.4,3.6,3.4
"Above all, I think we cannot ban the use of RFID completely, since it will be of great help for human's benefit during scientific exploration, rescue and police events.","Above all, I think we cannot ban the use of RFID completely, since it will be of great help for human's benefit during scientific exploration, rescue and police events.","3,4,4,4,3","4,4,4,2,3","3,4,4,4,4","lstm,copy-net,transformer,cnn",3.6,3.4,3.8
"However, the chip implant can be retrieved out easily and replanted onto other people and so on the tag.","However, the chip implant can be extracted easily and replanted onto other people and so on the tag.","3,4,3,3,3","3,4,3,2,3","3,4,4,4,3",lstm,3.2,3.0,3.6
"With the information about the location of the cargo, it is much easier to prevent unexpected loss and come up with more efficient plans to save the energy and resources of the company.","With the information about the location of the cargo, it is much easier to prevent unexpected loss and come up with more efficient plans to save energy and resources of the company.","3,4,4,4,3","4,4,4,4,3","3,4,4,4,3","smt,transformer,cnn",3.6,3.8,3.6
"Having power can help people to achieve lots of things; however, abusing will guide us to another direction.","Having power can help people to achieve lots of things; however, abusing will guide us to another direction.","3,4,4,3,3","3,4,4,2,3","2,4,4,4,4","smt,transformer,cnn",3.4,3.2,3.6
"In some fields, Surveillance technology did have brought us tremendous benefit and advantage.","In some fields, Surveillance technology has brought us tremendous benefits and advantages.","2,4,4,4,3","3,4,4,4,3","3,2,4,4,3","copy-net,cnn",3.4,3.6,3.2
The biggest difference between human and animals or any other objects is that we have self-esteem or we need the basic respect from our peer.,The biggest difference between humans and animals or any other objects is that we have self-esteem or we need the basic respect from our peers.,"3,4,4,3,3","3,4,4,3,3","3,4,4,4,3","smt,copy-net",3.4,3.4,3.6
"In modern digital world, electronic products are widely used in daily lives such as Smart phones, computers and etc.","In modern digital world, electronic products are widely used in daily lives such as Smart phones, computers and etc.","3,4,4,3,3","4,4,4,3,3","3,4,4,4,4","lstm,cnn",3.4,3.6,3.8
The challenge of many ageing countries will rise when no new generation could take over their place in that particular trade.,The challenge of many ageing countries will rise when no new generation can take over their place in that particular trade.,"2,4,4,4,3","3,4,4,3,3","3,4,4,4,3","copy-net,cnn",3.4,3.4,3.6
"Some years, there is a report on Hong Kong citizens living situation, in a small room there are eight people, they cannot do anything in the room, only can sleep and the air in the room is very bad.","Some years, there is a report on Hong Kong citizens living situation . In a small room there are eight people, they cannot do anything in the room, only can sleep and the air in the room is very bad.","3,3,3,3,3","3,3,3,2,3","3,4,4,4,3",transformer,3.0,2.8,3.6
"With a doubled life time, humans can have change to explore the real meaning of life.","With doubled life time, humans can have change to explore the real meaning of life.","2,3,3,3,3","3,3,3,3,3","2,3,4,4,4",copy-net,2.8,3.0,3.4
Would not it similar to criminals in prison but in a bigger confined space?,Would not it be similar to criminals in prison but in a bigger space?,"3,2,4,4,3","4,2,4,4,3","3,4,4,3,3",lstm,3.2,3.4,3.4
"Before people find another planet to live, the earth is the only habitat for us, and hence the limit of its capacity to support livings, it is the limit of the quantity of people that can live.","Before people find another planet to live, the earth is the only habitat for us, and hence the limit of its capacity to support survivors, the limit of the quantity of people that can live.","3,3,3,3,3","3,3,3,2,3","3,4,4,4,3",smt,3.0,2.8,3.6
Projections of the United Nations indicate that the population aged 60 or over in developed and developing countries is increasing at 2% to 3% annually.,Projections of the United Nations indicate that the population aged 60 or over in developed and developing countries is increasing at 2% to 3% annually.,"2,4,4,4,3","3,4,4,4,3","3,4,4,4,3","smt,copy-net,transformer,cnn",3.4,3.6,3.6
"On the condition that the kindergarten students are very young and they do not have a very sound self-conscious, this system can prevent them from lost.","On the condition that the kindergarten students are very young and they do not have a very sound self-conscious, this system can prevent them from lost.","3,3,3,3,3","3,3,3,3,3","3,4,4,4,4",smt,3.0,3.0,3.8
"Without surveillance technology, the suspicious people might actually commit a murder and the murder can be much more serious if the police cannot arrive in time to help out.","Without surveillance technology, suspicious people might actually commit murder and the murderer can be much more serious if the police cannot arrive in time to help out.","2,4,3,3,3","3,4,4,2,3","3,3,4,4,4",lstm,3.0,3.2,3.6
"As the population ageing are growing, as people getting old, they need to be cared by others and are not able to contribute as the same as they were young.","As the ageing population is growing, as people get old, they need to be cared for by others and are not able to contribute the same as they were young.","2,3,3,3,3","3,3,3,3,3","2,4,4,4,3",transformer,2.8,3.0,3.4
"Compared with the world of ancient Rome or China where almost no machines are involved, people nowadays are producing batches and batches of merchandises in factories.","Compared with the world of ancient Rome or China where almost no machines are involved, people nowadays are producing batches and batches of merchandises in factories.","3,4,4,3,3","3,4,4,2,3","3,4,4,4,4",smt,3.4,3.2,3.8
We talk about the first possibility.,We talk about the first possibility.,"4,4,4,4,4","4,4,4,4,4","4,4,4,4,4",cnn,4.0,4.0,4.0
"After finding and analyzing the black box of the Valujet after the incidence, police investigators found out reasons for causing this severe incidence.","After finding and analyzing the black box of the Valujet after the incident, police investigators found out reasons for causing this severe incident.","3,4,3,3,3","3,4,4,2,3","3,4,4,4,3",copy-net,3.2,3.2,3.6
"When a husband is talking a sweet sentence to his wife, none of the couple want it to be heard by the people behind the monitors.","When a husband is talking a sweet sentence to his wife, none of the couple wants it to be heard by the people behind the monitor.","2,3,3,3,3","3,3,3,2,3","2,4,4,4,4",transformer,2.8,2.8,3.6
"An example of making an good informed decision is the story of the planning and constructing of a walking path, where the government has a lack of information and decides that the people needs a proper concrete walking path and builds one at a randomly location.","An example of making a good informed decision is the story of the planning and constructing of a walking path, where the government has a lack of information and decides that the people need a proper concrete walking path and builds one at a random location.","3,3,4,4,3","3,3,4,3,3","3,3,4,4,3","lstm,copy-net",3.4,3.2,3.4
"Therefore, achieving such great fret, in these areas is considered as an achievement where human lives is then improved and extended the life of us.","Therefore, achieving such great fret, in these areas is considered an achievement where human lives are then improved and extended the lives of us.","2,4,2,1,3","3,4,2,1,3","3,4,4,4,3",smt,2.4,2.6,3.6
In most countries healthcare are provided freely from government.,"In most countries, healthcare is provided freely by the government.","2,4,4,4,3","3,4,4,4,3","3,1,4,4,3",transformer,3.4,3.6,3.0
"Some good examples such as the Internet, computers and satellites are now quite common for humans' normal life; however, some problems also emerge, with a concern of the loss of the privacy of civilians.","Some good examples such as the Internet, computers and astronauts are now quite common for humans' normal lives; however, some problems also emerge, with concern about the loss of the privacy of the citizens.","3,4,3,4,3","3,4,4,3,3","3,4,2,4,3",transformer,3.4,3.4,3.2
"Judging from the crazy yet realistic anecdotes about gangsters, human traffickers, and the yukuza from his book, it is not difficult to imagine the opportunistic nature of human taking opportunity on this marvelous tracking technology.","Judging from the crazy yet realistic anecdotes about gangsters, human traffickers, and the yukuza from his book, it is not difficult to imagine the opportunistic nature of humans taking opportunity on this marvelous tracking technology.","2,4,3,3,3","3,4,3,2,3","3,4,4,4,4",smt,3.0,3.0,3.8
"For families, certainly, the burden for young people is becomes heavier.","For families, certainly, the burden for young people is becoming heavier.","2,4,4,4,3","3,4,4,4,3","3,4,4,4,4","copy-net,cnn",3.4,3.6,3.8
People under supervision are under high pressure to perform naturally.,People under supervision are under a lot of pressure to perform naturally.,"3,4,4,4,3","3,4,4,4,3","3,4,4,4,3",transformer,3.6,3.6,3.6
There exist various advantages of using the surveillance technology.,There exist various advantages of using the surveillance technology.,"2,4,4,4,3","3,4,4,4,3","3,4,4,4,4",copy-net,3.4,3.6,3.8
